start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
281.72,286.20,OLDMAN,FORREST,ARM,BACK ARM LEG,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,NARRATION
285.76,286.20,OLDMAN,FORREST,ARM,CHEST,TAP,0,POSITIVE,POSITIVE,1,
289.72,289.84,MRS_GUMP,FORREST,HAND,HAND,BRUSH PAST,0,POSITIVE,POSITIVE,1,
290.00,290.92,MRS_GUMP,FORREST,HAND,LEG,FIX_CLOTHING,0,POSITIVE,POSITIVE,1,
314.24,316.32,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
314.24,316.32,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
342.96,351.48,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
342.96,351.48,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
351.48,353.04,MRS_GUMP,FORREST,HAND,HAND ARM,,1,NEGATIVE,NEGATIVE,1,NARRATION
355.48,357.96,MRS_GUMP,FORREST,HAND ARM,HAND ARM CHEST ABDOMEN BACK,CHANGE_POSITION,1,NEGATIVE,STRONG_NEGATIVE,1,AUDITORY
359.96,361.72,MRS_GUMP,FORREST,ARM BACK SHOULDER,CHEST ARM,PULL_SOMEBODY,1,NEGATIVE,STRONG_NEGATIVE,1,AUDITORY
362.96,363.40,MRS_GUMP,FORREST,ARM CHEST,ARM CHEST LEG,CHANGE_POSITION,0,NEGATIVE,NEGATIVE,1,
362.96,365.52,MRS_GUMP,FORREST,HAND ARM,ARM CHEST LEG,HOLD,0,POSITIVE,POSITIVE,1,
363.64,364.48,MRS_GUMP,FORREST,HAND SHOULDER,BUTTOCKS HIP ABDOMEN,BRUSH PAST,0,POSITIVE,POSITIVE,1,
365.72,376.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
385.56,427.52,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
385.56,427.52,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
427.80,434.36,MRS_GUMP,FORREST,HAND,SHOULDER,HOLD,0,POSITIVE,POSITIVE,1,
679.72,681.44,MRS_GUMP,FORREST,SHOULDER,SHOULDER,NESTLE,0,POSITIVE,POSITIVE,1,
679.72,681.44,FORREST,MRS_GUMP,SHOULDER,SHOULDER,NESTLE,0,POSITIVE,POSITIVE,1,
686.12,688.68,MRS_GUMP,FORREST,SHOULDER,SHOULDER,NESTLE,0,POSITIVE,POSITIVE,1,
686.12,688.68,FORREST,MRS_GUMP,SHOULDER,SHOULDER,NESTLE,0,POSITIVE,POSITIVE,1,
712.60,717.84,MRS_GUMP,FORREST,HAND,FACE,HOLD,0,STRONG_POSITIVE,POSITIVE,1,
717.36,717.60,MRS_GUMP,FORREST,FACE,FACE,,0,STRONG_POSITIVE,POSITIVE,1,
718.44,721.24,MRS_GUMP,FORREST,HAND,SHOULDER,CHANGE_POSITION,0,POSITIVE,POSITIVE,1,
755.16,757.76,BOY,BOY,SHOULDER ARM,SHOULDER ARM,NESTLE,0,POSITIVE,POSITIVE,1,
761.56,770.12,CHILDREN,CHILDREN,SHOULDER ARM,SHOULDER ARM,NESTLE,0,POSITIVE,POSITIVE,1,
771.28,778.40,CHILDREN,CHILDREN,SHOULDER ARM,SHOULDER ARM,NESTLE,0,POSITIVE,POSITIVE,1,
809.08,809.16,FORREST,JENNY,SHOULDER ARM,SHOULDER ARM,BRUSH PAST,0,POSITIVE,POSITIVE,1,NARRATION
840.28,842.36,JENNY,FORREST,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,NARRATION
857.20,861.04,FORREST,JENNY,SHOULDER ARM,SHOULDER ARM,NESTLE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
857.20,861.04,JENNY,FORREST,SHOULDER ARM,SHOULDER ARM,NESTLE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
872.88,885.96,JENNY,FORREST,HAND ARM,HAND ARM,HOLD_HANDS,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
906.40,908.96,JENNY,FORREST,HAND,HAND,CHANGE_POSITION,0,POSITIVE,POSITIVE,1,
912.08,912.88,JENNY,FORREST,HAND,SHOULDER,PUSH_AWAY,0,STRONG_POSITIVE,POSITIVE,1,
1065.60,1066.24,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,NEGATIVE,POSITIVE,1,NARRATION
1073.24,1074.68,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,NEGATIVE,POSITIVE,1,
1078.56,1081.80,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,NEGATIVE,POSITIVE,1,
1083.32,1084.76,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,NEGATIVE,POSITIVE,1,NARRATION
1089.36,1090.20,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,0,POSITIVE,POSITIVE,1,
1121.40,1121.60,OLDWOMAN,JENNY,HAND,SHOULDER,PAT,0,POSITIVE,POSITIVE,1,
1135.72,1144.28,JENNY,FORREST,SHOULDER ARM LEG,SHOULDER ARM LEG,NESTLE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
1136.60,1144.28,JENNY,FORREST,SHOULDER ARM LEG,SHOULDER ARM LEG,CUDDLE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,NARRATION
1136.60,1144.28,JENNY,FORREST,ARM,CHEST SHOULDER,ARM_AROUND_SHOULDER,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1183.88,1185.56,BOY,BOY,BUTTOCKS,BUTTOCKS,NESTLE,0,POSITIVE,POSITIVE,1,
