start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
282.00,284.00,MEN,FORREST,HAND,,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
285.00,286.00,MEN,FORREST,HAND,CHEST,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
290.00,291.00,MRS_GUMP,FORREST,HAND,LEG,FIX_CLOTHING,1,POSITIVE,POSITIVE,1,
314.00,316.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
314.00,317.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
342.00,353.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
342.00,353.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
352.00,353.00,MRS_GUMP,FORREST,HAND,ARM,PULL_SOMEBODY,1,POSITIVE,NEGATIVE,1,AUDITORY
355.00,357.00,MRS_GUMP,FORREST,HAND,,,1,POSITIVE,NEGATIVE,1,AUDITORY
359.00,361.00,FORREST,MRS_GUMP,ARM,SHOULDER,HOLD,0,NEGATIVE,POSITIVE,1,
363.00,363.00,MRS_GUMP,FORREST,HAND,LEG,,1,POSITIVE,POSITIVE,1,
363.00,364.00,MRS_GUMP,FORREST,HAND,ABDOMEN,BRUSH PAST,0,POSITIVE,POSITIVE,1,
364.00,365.00,MRS_GUMP,FORREST,HAND,ARM,HOLD,1,POSITIVE,NEGATIVE,1,
366.00,376.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
385.00,409.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
385.00,409.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
409.00,410.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
409.00,410.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
410.00,411.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
410.00,411.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
411.00,411.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
411.00,411.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
412.00,412.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
412.00,412.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
413.00,413.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
413.00,413.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
414.00,425.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
414.00,425.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
426.00,427.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
426.00,427.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
427.00,434.00,MRS_GUMP,FORREST,HAND,ARM,HOLD,1,POSITIVE,POSITIVE,1,
712.00,717.00,MRS_GUMP,FORREST,HAND,FACE,HOLD,1,POSITIVE,POSITIVE,1,
717.00,717.00,MRS_GUMP,FORREST,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
718.00,721.00,MRS_GUMP,FORREST,HAND,,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
840.00,840.00,JENNY,FORREST,HAND,HAND,SHAKE_HANDS,1,POSITIVE,STRONG_POSITIVE,1,
840.00,841.00,JENNY,FORREST,HAND,HAND,SHAKE_HANDS,1,POSITIVE,STRONG_POSITIVE,1,
841.00,842.00,JENNY,FORREST,HAND,HAND,SHAKE_HANDS,1,POSITIVE,STRONG_POSITIVE,1,
857.00,861.00,JENNY,FORREST,,,NESTLE,0,POSITIVE,POSITIVE,1,
857.00,861.00,FORREST,JENNY,,,NESTLE,0,POSITIVE,POSITIVE,1,
872.00,882.00,JENNY,FORREST,,,HOLD_HANDS,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
883.00,886.00,JENNY,FORREST,,,HOLD_HANDS,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
906.00,906.00,JENNY,FORREST,HAND,HAND,CHANGE_POSITION,1,POSITIVE,STRONG_POSITIVE,1,AUDITORY
906.00,908.00,JENNY,FORREST,HAND,HAND,CHANGE_POSITION,1,POSITIVE,STRONG_POSITIVE,1,AUDITORY
912.00,912.00,JENNY,FORREST,HAND,SHOULDER,TAP,0,POSITIVE,POSITIVE,1,
912.00,912.00,JENNY,FORREST,HAND,BACK,NUDGE,0,POSITIVE,POSITIVE,1,
1073.00,1073.00,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,POSITIVE,POSITIVE,1,
1078.00,1079.00,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,POSITIVE,POSITIVE,1,
1083.00,1083.00,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,POSITIVE,POSITIVE,1,
1084.00,1084.00,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,POSITIVE,POSITIVE,1,
1084.00,1084.00,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,1,POSITIVE,POSITIVE,1,
1089.00,1089.00,JENNY,FORREST,HAND,HAND,CHANGE_POSITION,0,POSITIVE,POSITIVE,1,
1136.00,1144.00,JENNY,FORREST,,,HUG,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1226.00,1226.00,MEN,MEN,CHEST,,TACKLE,1,POSITIVE,NEGATIVE,1,
1244.00,1244.00,MEN,MEN,,,TACKLE,1,NEGATIVE,NEGATIVE,1,
1248.00,1249.00,MEN,FORREST,HAND,BACK,NUDGE,1,POSITIVE,POSITIVE,1,
1267.00,1268.00,MEN,MEN,HAND,SHOULDER,HOLD,1,STRONG_POSITIVE,POSITIVE,1,
1270.00,1270.00,MEN,MEN,,,TACKLE,1,STRONG_NEGATIVE,STRONG_NEGATIVE,0,
1273.00,1274.00,MEN,MEN,,,TACKLE,1,STRONG_NEGATIVE,STRONG_NEGATIVE,0,
1282.00,1282.00,FORREST,MEN,ARM,,PUSH_AWAY,1,NEGATIVE,STRONG_NEGATIVE,0,
1311.00,1314.00,JENNY,MEN,,,CUDDLE,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
1311.00,1314.00,MEN,JENNY,,,CUDDLE,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
1314.00,1314.00,JENNY,MEN,FACE,FACE,,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
1314.00,1314.00,MEN,JENNY,FACE,FACE,,1,STRONG_POSITIVE,STRONG_POSITIVE,1,
1339.00,1341.00,JENNY,FORREST,HAND,,,1,STRONG_NEGATIVE,NEGATIVE,1,
1343.00,1344.00,JENNY,MEN,HAND,,NUDGE,0,NEGATIVE,STRONG_NEGATIVE,1,AUDITORY
1345.00,1346.00,JENNY,FORREST,HAND,SHOULDER,NUDGE,0,NEGATIVE,NEGATIVE,1,AUDITORY
1348.00,1348.00,JENNY,MEN,HAND,CHEST,HOLD,0,POSITIVE,STRONG_NEGATIVE,1,
1348.00,1348.00,MEN,JENNY,HAND,,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,AUDITORY
1350.00,1350.00,JENNY,MEN,HAND,CHEST,HOLD,0,NEGATIVE,NEGATIVE,1,
1350.00,1350.00,MEN,JENNY,HAND,BACK,PUSH_AWAY,1,NEGATIVE,STRONG_NEGATIVE,1,
1382.00,1383.00,JENNY,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
1386.00,1387.00,JENNY,FORREST,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
1386.00,1387.00,FORREST,JENNY,HAND,HAND,HOLD_HANDS,1,POSITIVE,POSITIVE,1,
1467.00,1468.00,JENNY,FORREST,HAND,HAND,LEAD,0,POSITIVE,STRONG_POSITIVE,1,
1479.00,1479.00,JENNY,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
1479.00,1479.00,FORREST,JENNY,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
1496.00,1522.00,JENNY,FORREST,,,NESTLE,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1515.00,1515.00,JENNY,FORREST,FACE,FACE,,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1537.00,1540.00,MEN,MEN,,,JOSTLE,0,NEGATIVE,NEGATIVE,0,
1580.00,1582.00,MEN,MEN,HAND,HAND,SHAKE_HANDS,1,POSITIVE,POSITIVE,1,
1584.00,1586.00,MEN,MEN,HAND,HAND,SHAKE_HANDS,1,POSITIVE,POSITIVE,1,
1592.00,1593.00,FORREST,MEN,HAND,HAND,SHAKE_HANDS,1,NEGATIVE,POSITIVE,1,
1640.00,1642.00,FORREST,MEN,HAND,HAND,SHAKE_HANDS,1,STRONG_POSITIVE,POSITIVE,1,
1640.00,1642.00,MEN,FORREST,HAND,HAND,SHAKE_HANDS,1,POSITIVE,STRONG_POSITIVE,1,
1643.00,1643.00,FORREST,MEN,HAND,HAND,SHAKE_HANDS,1,STRONG_POSITIVE,POSITIVE,1,
1643.00,1643.00,MEN,FORREST,HAND,HAND,SHAKE_HANDS,1,POSITIVE,STRONG_POSITIVE,1,
1645.00,1646.00,MRS_GUMP,FORREST,HAND,ARM,ARM_AROUND_SHOULDER,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1650.00,1650.00,MEN,FORREST,HAND,SHOULDER,TAP,0,POSITIVE,POSITIVE,1,
1719.00,1719.00,BUBBA,FORREST,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1719.00,1720.00,BUBBA,FORREST,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1720.00,1722.00,BUBBA,FORREST,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,
1999.00,1999.00,JENNY,MEN,,HAND,HIT,0,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
2013.00,2014.00,FORREST,MEN,HAND,,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
