start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
282.00,284.00,MEN,FORREST,ARM CHEST HAND,LEG BUTTOCKS BACK,CHANGE_POSITION,0,POSITIVE,NEGATIVE,1,
286.00,287.00,MEN,FORREST,HAND,CHEST BACK,CHANGE_POSITION,1,POSITIVE,NEGATIVE,1,AUDITORY NARRATION
290.00,292.00,MRS_GUMP,FORREST,HAND,BUTTOCKS,FIX_CLOTHING,0,POSITIVE,POSITIVE,1,
314.00,316.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
314.00,316.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
343.00,352.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
343.00,352.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
352.00,353.00,MRS_GUMP,FORREST,HAND,HAND,PULL_SOMEBODY,0,NEGATIVE,NEGATIVE,1,
355.00,357.00,MRS_GUMP,FORREST,ARM CHEST HAND,ARM BUTTOCKS BACK,PULL_SOMEBODY,1,STRONG_NEGATIVE,NEGATIVE,1,
359.00,361.00,MRS_GUMP,FORREST,CHEST SHOULDER,ARM ABDOMEN BACK,PULL_SOMEBODY,1,STRONG_NEGATIVE,NEGATIVE,1,
363.00,365.00,MRS_GUMP,FORREST,ARM CHEST HAND,LEG HIP,CHANGE_POSITION,0,NEGATIVE,NEGATIVE,1,
366.00,376.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
366.00,376.00,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
386.00,428.00,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
