start,end,actor,recipient,bodypart_actor,bodypart_recipient,label,intensity_of_body_contact,valence_actor,valence_recipient,intention,audio_information
282.60,283.20,MEN,FORREST,ARM HAND,LEG,CHANGE_POSITION,1,NEGATIVE,POSITIVE,1,NARRATION
283.84,284.44,MEN,FORREST,ARM HAND,LEG,CHANGE_POSITION,1,NEGATIVE,POSITIVE,1,NARRATION
284.76,285.92,MEN,FORREST,CHEST,CHEST,CARRY,1,NEGATIVE,POSITIVE,1,NARRATION
285.76,286.24,MEN,FORREST,HAND,CHEST,HOLD,0,NEGATIVE,POSITIVE,1,NARRATION
290.00,291.60,MRS_GUMP,FORREST,HAND,BUTTOCKS,FIX_CLOTHING,0,POSITIVE,POSITIVE,1,
314.20,316.32,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
314.20,316.32,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
343.04,353.04,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
343.04,353.04,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
352.96,353.04,MRS_GUMP,FORREST,HAND,ARM,,1,NEGATIVE,NEGATIVE,1,
355.68,356.80,MRS_GUMP,FORREST,HAND,ARM,HOLD,1,NEGATIVE,NEGATIVE,1,
355.68,356.80,FORREST,MRS_GUMP,ARM,HAND,HOLD,1,NEGATIVE,NEGATIVE,1,
355.92,358.04,MRS_GUMP,FORREST,HAND,BACK,HOLD,1,NEGATIVE,NEGATIVE,1,
363.68,364.40,MRS_GUMP,FORREST,HAND,HIP,BRUSH PAST,0,NEGATIVE,NEGATIVE,1,
365.76,375.96,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,NEGATIVE,NEGATIVE,1,
385.56,411.64,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
385.56,411.64,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
413.64,427.56,MRS_GUMP,FORREST,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
413.64,427.56,FORREST,MRS_GUMP,HAND,HAND,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
427.84,434.36,MRS_GUMP,FORREST,HAND,SHOULDER,HOLD,1,POSITIVE,POSITIVE,1,
679.72,681.44,MRS_GUMP,FORREST,ARM,SHOULDER,NESTLE,0,POSITIVE,POSITIVE,1,
679.72,681.44,FORREST,MRS_GUMP,SHOULDER,ARM,NESTLE,0,POSITIVE,POSITIVE,1,
686.12,687.72,MRS_GUMP,FORREST,ARM,SHOULDER,NESTLE,0,POSITIVE,POSITIVE,1,
686.12,687.72,FORREST,MRS_GUMP,SHOULDER,ARM,NESTLE,0,POSITIVE,POSITIVE,1,
712.60,718.00,MRS_GUMP,FORREST,HAND,FACE,HOLD,0,POSITIVE,POSITIVE,1,
712.60,718.00,FORREST,MRS_GUMP,FACE,HAND,LAY_ON_SOMEBODY,0,POSITIVE,POSITIVE,1,
717.40,717.64,MRS_GUMP,FORREST,FACE,FACE,,0,POSITIVE,POSITIVE,1,
718.52,720.20,MRS_GUMP,FORREST,ARM HAND,BACK,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
720.20,721.24,MRS_GUMP,FORREST,HAND,ARM,HOLD,0,POSITIVE,POSITIVE,1,
840.16,842.36,JENNY,FORREST,HAND,HAND,SHAKE_HANDS,0,POSITIVE,POSITIVE,1,NARRATION
857.20,861.04,FORREST,JENNY,SHOULDER ARM,SHOULDER ARM,NESTLE,0,POSITIVE,POSITIVE,1,
857.20,861.04,JENNY,FORREST,SHOULDER ARM,SHOULDER ARM,NESTLE,0,POSITIVE,POSITIVE,1,
872.88,881.92,JENNY,FORREST,HAND ARM,HAND ARM,HOLD_HANDS,0,POSITIVE,POSITIVE,1,NARRATION
883.76,885.96,JENNY,FORREST,HAND ARM,HAND ARM,HOLD_HANDS,0,POSITIVE,POSITIVE,1,
907.00,908.96,JENNY,FORREST,HAND,HAND,CHANGE_POSITION,1,POSITIVE,POSITIVE,1,
912.12,912.36,JENNY,FORREST,HAND,SHOULDER,NUDGE,1,POSITIVE,POSITIVE,1,
1073.36,1073.52,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,0,POSITIVE,POSITIVE,1,
1079.12,1079.36,JENNY,FORREST,HAND,HAND,PULL_SOMEBODY,0,POSITIVE,POSITIVE,1,
1079.12,1079.36,FORREST,JENNY,HAND,HAND,PULL_SOMEBODY,0,POSITIVE,POSITIVE,1,
1089.36,1090.28,JENNY,FORREST,HAND,HAND,CHANGE_POSITION,0,POSITIVE,POSITIVE,1,
1136.60,1144.28,JENNY,FORREST,HAND ARM,SHOULDER CHEST,CUDDLE,0,POSITIVE,POSITIVE,1,
1226.24,1226.64,MEN,MEN,SHOULDER ARM,BACK,TACKLE,1,NEGATIVE,STRONG_NEGATIVE,1,NARRATION AUDITORY
1248.80,1249.52,MEN,FORREST,HAND,BACK,NUDGE,0,POSITIVE,POSITIVE,1,
1257.48,1257.92,MEN,MEN,HAND,BACK,LEAD,1,POSITIVE,POSITIVE,1,
1267.80,1268.60,MEN,MEN,HAND,SHOULDER,HOLD,0,POSITIVE,POSITIVE,1,
1270.20,1270.36,MEN,MEN,CHEST ARM,SHOULDER,TACKLE,1,NEGATIVE,NEGATIVE,0,NARRATION
1273.32,1274.00,MEN,MEN,CHEST,BACK,TACKLE,1,NEGATIVE,NEGATIVE,0,
1282.12,1282.80,FORREST,MEN,SHOULDER,SHOULDER,JOSTLE,1,POSITIVE,NEGATIVE,1,NARRATION AUDITORY
1289.44,1292.44,MEN,MEN,HAND,SHOULDER,HOLD,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1290.76,1292.16,MEN,MEN,HAND,SHOULDER,TAP,0,STRONG_POSITIVE,STRONG_POSITIVE,1,
1339.72,1340.52,JENNY,FORREST,HAND,HIP,PULL_SOMEBODY,1,STRONG_NEGATIVE,NEGATIVE,1,NARRATION
1341.16,1341.32,JENNY,FORREST,HAND,BACK,HIT,1,STRONG_NEGATIVE,NEGATIVE,1,
1345.88,1346.72,JENNY,FORREST,HAND,SHOULDER,PUSH_AWAY,1,STRONG_NEGATIVE,NEGATIVE,1,
1348.08,1348.40,JENNY,MEN,HAND,CHEST,BRUSH PAST,0,POSITIVE,STRONG_NEGATIVE,1,
1348.28,1348.68,MEN,JENNY,HAND,HAND,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
1350.76,1350.96,MEN,JENNY,HAND,ABDOMEN,PUSH_AWAY,1,STRONG_NEGATIVE,STRONG_NEGATIVE,1,
